Word,Count
the,36
to,20
assembly,15
/,14
of,13
this,12
for,12
is,11
an,9
following,9
Version,9
in,7
with,6
code,6
COM,6
attribute,6
information,6
Console.WriteLine(value:,6
type,6
set,6
ComVisible,6
modify,5
not,5
values,4
if,4
designer,4
</summary>,4
<summary>,4
you,4
telerik,4
Build,4
method,4
a,4
support,4
+,4
The,4
Reporting,4
Revision,4
Required,4
values:,3
visible,3
any,3
true,3
typelib,3
access,3
four,3
through,3
If,3
attributes,3
consists,3
types,3
false,3
components,3
Number,3
makes,3
exposed,3
GUID,3
these,3
Major,3
Minor,3
Information,3
that,3
about,3
from,3
General,3
controlled,3
need,3
Change,3
ID,3
\COM,\,3
project,3
on,3
Setting,3
associated,3
TODO:,2
using,2
constructor,2
contents,2
report,2
-,2
\RecID:"\\,2
do,2
description,2
by,2
strRecID);,2
can,2
controller,2
after,2
Add,2
and,2
call,2
editor,2
Summary,2
InitializeComponent,2
default,2
------------------------------------------------------------------------------,2
Receipt,2
print,2
Recept,2
detail,2
Version:4.0.30319.42000,1
\AssemblyVersion("\1.0.*"\)]\,1
textBox1,1
Print,1
standard,1
shape3,1
mode,1
textBox9,1
textBox31,1
\"\Print\,1
Assembly,1
textBox29,1
specify,1
Keep,1
Obtain,1
printer,1
\"\Found\,1
shown,1
textBox26,1
textBox24,1
textBox6,1
textBox30,1
Changes,1
Completed,1
strLocationID);,1
\exit."\);\,1
</auto-generated>,1
as,1
You,1
Console.ReadKey();,1
\"\\,1
textBox28,1
shape2,1
textBox12,1
pageHeaderSection1,1
textBox18,1
textBox10,1
panel1,1
regenerated,1
textBox23,1
textBox5,1
no,1
incorrect,1
textBox34,1
textBox2,1
textBox21,1
textBox22,1
textBox7,1
=,1
textBox27,1
textBox33,1
reportFooterSection1,1
panel5,1
custom,1
will,1
nextN);,1
Runtime,1
reportHeaderSection1,1
debug,1
generated,1
shape1,1
key,1
pageFooterSection1,1
sqlDataSourceRec,1
comes,1
settings,1
UI,1
tool,1
Name,1
standardPrintController;,1
textBox32,1
be,1
textBox3,1
behavior,1
may,1
\"\Press\,1
\"\Delete\,1
reportProcessor.PrintController,1
textBox16,1
\"\strLocationID:\,1
textBox13,1
lost,1
\"\Next:"\\,1
textBox19,1
window,1
textBox14,1
Numbers,1
all,1
open,1
console,1
Qualified,1
panel4,1
<auto-generated>,1
file,1
'*',1
cause,1
textBox15,1
textBox11,1
panel6,1
textBox17,1
\"\);\,1
textBox25,1
or,1
textBox20,1
reportName,1
was,1
This,1
below:,1
panel3,1
[assembly:,1
textBox8,1
